Trial,Seq,Value
trial_0,mas_2,0.28
trial_0,mas_3,0.29
trial_0,mas_4,0.24
trial_0,mas_5,0.24
trial_0,mas_6,0.25
trial_0,mas_7,0.27
trial_0,mas_8,0.28
trial_0,mas_9,0.28
trial_0,mas_10,0.25
trial_0,mas_11,0.28
trial_0,mas_12,0.3
trial_0,mas_13,0.3
trial_0,mas_14,0.24
trial_0,mas_15,0.28
trial_0,mas_16,0.26
trial_0,mas_18,0.29
trial_0,mas_19,0.27
trial_0,mas_20,0.26
trial_0,mas_21,0.26
trial_0,mas_22,0.26
trial_0,mas_23,0.27
trial_0,mas_24,0.33
trial_0,mas_25,0.36
trial_0,mas_27,0.3
trial_0,mas_28,0.31
trial_0,mas_29,0.3
trial_0,mas_31,0.29
trial_0,mas_32,0.32
trial_0,mas_33,0.29
trial_0,mas_34,0.3
trial_0,mas_35,0.28
trial_0,mas_36,0.3
trial_0,mas_37,0.3
trial_0,mas_38,0.28
trial_0,mas_39,0.29
trial_0,mas_41,0.3
trial_0,mas_42,0.31
trial_0,mas_43,0.29
trial_0,mas_45,0.33
trial_0,mas_47,0.37
trial_0,mas_48,0.27
trial_0,mas_50,0.29
trial_0,mas_51,0.29
trial_0,mas_52,0.25
trial_0,mas_53,0.24
trial_0,mas_54,0.2
trial_0,mas_55,0.23
trial_0,mas_56,0.23
trial_0,mas_57,0.22
trial_0,mas_58,0.22
trial_0,mas_59,0.24
trial_0,mas_60,0.25
trial_0,mas_61,0.23
trial_0,mas_62,0.2
trial_0,mas_63,0.24
trial_0,mas_64,0.25
trial_0,mas_66,0.23
trial_0,mas_67,0.23
trial_0,mas_68,0.21
trial_0,mas_69,0.21
trial_0,mas_70,0.19
trial_0,mas_72,0.16
trial_0,mas_73,0.2
trial_0,mas_74,0.24
trial_0,mas_75,0.28
trial_0,mas_76,0.31
trial_0,mas_77,0.3
trial_0,mas_78,0.32
trial_0,mas_79,0.32
trial_0,mas_80,0.31
trial_0,mas_81,0.32
trial_0,mas_82,0.34
trial_0,mas_83,0.28
trial_0,mas_84,0.27
trial_0,mas_85,0.29
trial_0,mas_86,0.27
trial_0,mas_87,0.26
trial_0,sub1_2,0.24
trial_0,sub1_3,0.25
trial_0,sub1_4,0.22
trial_0,sub1_6,0.28
trial_0,sub1_8,0.26
trial_0,sub1_9,0.27
trial_0,sub1_13,0.28
trial_0,sub1_14,0.26
trial_0,sub1_15,0.28
trial_0,sub1_16,0.26
trial_0,sub1_18,0.27
