Trial,Seq,Value
trial_0,mas_0,0.32
trial_0,mas_23,0.25
trial_0,mas_25,0.29
trial_0,mas_46,0.47
trial_0,mas_48,0.49
trial_0,mas_57,0.37
trial_0,mas_99,0.25
trial_0,sub1_0,0.34
trial_0,sub1_21,0.53
trial_0,sub1_23,0.51
trial_0,sub1_24,0.48
trial_0,sub1_25,0.45
trial_0,sub1_46,0.36
trial_0,sub1_48,0.44
trial_0,sub1_50,0.47
trial_0,sub1_57,0.38
trial_0,sub1_99,0.39
trial_0,sub2_0,0.43
trial_0,sub2_25,0.46
trial_0,sub2_46,0.41
trial_0,sub2_48,0.36
trial_0,sub2_57,0.34
trial_0,sub2_99,0.32
trial_0,sub3_0,0.3
trial_0,sub3_21,0.27
trial_0,sub3_22,0.28
trial_0,sub3_23,0.3
trial_0,sub3_24,0.31
trial_0,sub3_25,0.34
