Trial,Seq,Value
trial_0,mas_2,0.24
trial_0,mas_3,0.22
trial_0,mas_4,0.25
trial_0,mas_5,0.23
trial_0,mas_6,0.24
trial_0,mas_7,0.25
trial_0,mas_8,0.28
trial_0,mas_9,0.27
trial_0,mas_10,0.2
trial_0,mas_11,0.21
trial_0,mas_12,0.27
trial_0,mas_13,0.26
trial_0,mas_14,0.16
trial_0,mas_15,0.18
trial_0,mas_16,0.2
trial_0,mas_17,0.2
trial_0,mas_18,0.21
trial_0,mas_19,0.2
trial_0,mas_20,0.21
trial_0,mas_21,0.21
trial_0,mas_23,0.19
trial_0,mas_24,0.2
trial_0,mas_25,0.21
trial_0,mas_26,0.25
trial_0,mas_28,0.22
trial_0,mas_29,0.22
trial_0,mas_30,0.22
trial_0,mas_32,0.22
trial_0,mas_33,0.21
trial_0,mas_34,0.22
trial_0,mas_35,0.19
trial_0,mas_36,0.2
trial_0,mas_37,0.18
trial_0,mas_38,0.18
trial_0,mas_39,0.19
trial_0,mas_40,0.21
trial_0,mas_41,0.19
trial_0,mas_42,0.2
trial_0,mas_43,0.18
trial_0,mas_44,0.16
trial_0,mas_45,0.16
trial_0,mas_46,0.16
trial_0,mas_47,0.16
trial_0,mas_48,0.16
trial_0,mas_49,0.19
trial_0,mas_50,0.2
trial_0,mas_51,0.22
trial_0,mas_52,0.25
trial_0,mas_53,0.26
trial_0,mas_54,0.25
trial_0,mas_55,0.23
trial_0,mas_56,0.21
trial_0,mas_57,0.21
trial_0,mas_58,0.21
trial_0,mas_59,0.2
trial_0,mas_60,0.2
trial_0,mas_61,0.2
trial_0,mas_62,0.21
trial_0,mas_64,0.24
trial_0,mas_66,0.21
trial_0,mas_67,0.21
trial_0,mas_68,0.19
trial_0,mas_69,0.23
trial_0,mas_70,0.23
trial_0,mas_71,0.2
trial_0,mas_72,0.2
trial_0,mas_73,0.19
trial_0,mas_74,0.19
trial_0,mas_75,0.2
trial_0,mas_76,0.14
trial_0,mas_77,0.19
trial_0,mas_78,0.21
trial_0,mas_79,0.28
trial_0,sub1_2,0.28
trial_0,sub1_3,0.37
trial_0,sub1_4,0.43
trial_0,sub1_6,0.42
trial_0,sub1_8,0.44
trial_0,sub1_9,0.43
trial_0,sub1_10,0.33
trial_0,sub1_14,0.34
trial_0,sub1_15,0.35
trial_0,sub1_16,0.37
trial_0,sub1_17,0.38
trial_0,sub1_18,0.39
trial_0,sub1_19,0.38
trial_0,sub1_20,0.36
trial_0,sub1_21,0.37
trial_0,sub1_22,0.33
trial_0,sub1_23,0.32
trial_0,sub1_24,0.31
trial_0,sub1_25,0.29
trial_0,sub1_26,0.38
trial_0,sub1_28,0.26
trial_0,sub1_30,0.27
trial_0,sub1_33,0.48
trial_0,sub1_34,0.43
trial_0,sub1_35,0.34
trial_0,sub1_36,0.36
trial_0,sub1_37,0.37
trial_0,sub1_38,0.37
trial_0,sub1_39,0.36
trial_0,sub1_40,0.35
trial_0,sub1_41,0.37
trial_0,sub1_42,0.34
