Trial,Seq,Value
trial_0,mas_1,0.17
trial_0,mas_2,0.17
trial_0,mas_3,0.18
trial_0,mas_4,0.19
trial_0,mas_5,0.18
trial_0,mas_6,0.17
trial_0,mas_7,0.21
trial_0,mas_8,0.18
trial_0,mas_9,0.17
trial_0,mas_10,0.17
trial_0,mas_11,0.18
trial_0,mas_12,0.19
trial_0,mas_13,0.2
trial_0,mas_14,0.22
trial_0,mas_15,0.21
trial_0,mas_18,0.22
trial_0,mas_19,0.22
trial_0,mas_20,0.21
trial_0,mas_21,0.23
trial_0,mas_22,0.23
trial_0,mas_23,0.23
trial_0,mas_24,0.23
trial_0,mas_25,0.23
trial_0,mas_26,0.25
trial_0,mas_27,0.25
trial_0,mas_28,0.25
trial_0,mas_29,0.27
trial_0,mas_30,0.27
trial_0,mas_31,0.25
trial_0,mas_32,0.23
trial_0,mas_33,0.21
trial_0,mas_34,0.21
trial_0,mas_35,0.21
trial_0,mas_36,0.22
trial_0,mas_37,0.2
trial_0,mas_38,0.19
trial_0,mas_40,0.21
trial_0,mas_41,0.21
trial_0,mas_42,0.22
trial_0,mas_43,0.21
trial_0,mas_44,0.21
trial_0,mas_46,0.2
trial_0,mas_47,0.21
trial_0,mas_48,0.21
trial_0,mas_49,0.2
trial_0,mas_50,0.23
trial_0,mas_51,0.21
trial_0,mas_52,0.2
trial_0,mas_53,0.21
trial_0,mas_54,0.22
trial_0,mas_55,0.2
trial_0,mas_56,0.2
trial_0,mas_57,0.2
trial_0,mas_58,0.19
trial_0,mas_59,0.19
trial_0,mas_60,0.19
trial_0,mas_61,0.19
trial_0,mas_62,0.2
trial_0,mas_63,0.18
trial_0,mas_65,0.2
trial_0,mas_66,0.19
trial_0,mas_68,0.19
trial_0,mas_69,0.19
trial_0,mas_70,0.19
trial_0,mas_71,0.19
trial_0,mas_72,0.18
trial_0,mas_73,0.18
trial_0,mas_74,0.18
trial_0,mas_75,0.18
trial_0,mas_76,0.18
trial_0,mas_77,0.17
trial_0,mas_78,0.18
trial_0,mas_79,0.18
trial_0,mas_80,0.18
trial_0,mas_81,0.19
trial_0,mas_82,0.18
trial_0,mas_83,0.18
trial_0,mas_84,0.17
trial_0,mas_85,0.17
trial_0,mas_86,0.17
trial_0,mas_87,0.16
trial_0,mas_88,0.16
trial_0,mas_89,0.16
trial_0,mas_90,0.15
trial_0,mas_91,0.15
trial_0,mas_92,0.15
trial_0,mas_93,0.16
trial_0,mas_94,0.15
trial_0,mas_95,0.16
trial_0,mas_96,0.15
trial_0,mas_97,0.16
trial_0,mas_98,0.16
trial_0,mas_99,0.16
trial_0,mas_100,0.17
trial_0,mas_101,0.16
trial_0,mas_102,0.17
trial_0,mas_103,0.19
trial_0,mas_105,0.2
trial_0,mas_106,0.2
trial_0,mas_107,0.19
trial_0,mas_108,0.19
trial_0,mas_109,0.18
trial_0,mas_110,0.17
trial_0,mas_113,0.2
trial_0,mas_114,0.19
trial_0,mas_115,0.19
trial_0,mas_116,0.2
trial_0,mas_117,0.2
trial_0,mas_118,0.2
trial_0,mas_119,0.21
