Trial,Seq,Value
trial_0,mas_8,0.22
trial_0,mas_13,0.22
trial_0,mas_35,0.29
trial_0,mas_41,0.5
trial_0,mas_51,0.39
trial_0,mas_58,0.41
trial_0,mas_64,0.69
trial_0,mas_83,0.27
trial_0,sub1_7,0.32
trial_0,sub1_13,0.35
trial_0,sub1_35,0.7
trial_0,sub1_51,0.47
trial_0,sub1_58,0.6
trial_0,sub1_64,0.65
trial_0,sub1_83,0.48
trial_0,sub2_13,0.51
trial_0,sub2_35,0.57
trial_0,sub2_41,0.4
trial_0,sub2_51,0.64
trial_0,sub2_58,0.51
trial_0,sub2_64,0.66
trial_0,sub2_83,0.39
trial_0,sub3_0,0.25
trial_0,sub3_6,0.26
trial_0,sub3_7,0.27
trial_0,sub3_8,0.24
trial_0,sub3_13,0.27
trial_0,sub3_41,0.42
trial_0,sub3_58,0.35
